Budget,Architecture_1,Architecture_2,Intersection_n,Union_n,Jaccard
3,MLR,RF,3,3,1.0
3,MLR,TabM,2,4,0.5
3,MLR,MLR+RF,3,3,1.0
3,RF,TabM,2,4,0.5
3,RF,MLR+RF,3,3,1.0
3,TabM,MLR+RF,2,4,0.5
6,MLR,RF,1,11,0.09090909090909091
6,MLR,TabM,4,8,0.5
6,MLR,MLR+RF,2,10,0.2
6,RF,TabM,1,11,0.09090909090909091
6,RF,MLR+RF,2,10,0.2
6,TabM,MLR+RF,2,10,0.2
9,MLR,RF,1,17,0.058823529411764705
9,MLR,TabM,3,15,0.2
9,MLR,MLR+RF,1,17,0.058823529411764705
9,RF,TabM,0,18,0.0
9,RF,MLR+RF,2,16,0.125
9,TabM,MLR+RF,1,17,0.058823529411764705
12,MLR,RF,1,23,0.043478260869565216
12,MLR,TabM,3,21,0.14285714285714285
12,MLR,MLR+RF,2,22,0.09090909090909091
12,RF,TabM,4,20,0.2
12,RF,MLR+RF,9,15,0.6
12,TabM,MLR+RF,7,17,0.4117647058823529
15,MLR,RF,3,27,0.1111111111111111
15,MLR,TabM,4,26,0.15384615384615385
15,MLR,MLR+RF,5,25,0.2
15,RF,TabM,7,23,0.30434782608695654
15,RF,MLR+RF,8,22,0.36363636363636365
15,TabM,MLR+RF,8,22,0.36363636363636365
18,MLR,RF,5,31,0.16129032258064516
18,MLR,TabM,8,28,0.2857142857142857
18,MLR,MLR+RF,7,29,0.2413793103448276
18,RF,TabM,6,30,0.2
18,RF,MLR+RF,11,25,0.44
18,TabM,MLR+RF,9,27,0.3333333333333333
21,MLR,RF,8,34,0.23529411764705882
21,MLR,TabM,10,32,0.3125
21,MLR,MLR+RF,11,31,0.3548387096774194
21,RF,TabM,6,36,0.16666666666666666
21,RF,MLR+RF,9,33,0.2727272727272727
21,TabM,MLR+RF,10,32,0.3125
