Architecture,Smaller_budget,Larger_budget,Retained_from_smaller_n,Retention_fraction,New_in_larger_n,Dropped_from_smaller_n,Is_nested
MLR,3,6,1,0.3333333333333333,5,2,False
MLR,6,9,1,0.16666666666666666,8,5,False
MLR,9,12,4,0.4444444444444444,8,5,False
MLR,12,15,4,0.3333333333333333,11,8,False
MLR,15,18,9,0.6,9,6,False
MLR,18,21,9,0.5,12,9,False
RF,3,6,1,0.3333333333333333,5,2,False
RF,6,9,1,0.16666666666666666,8,5,False
RF,9,12,2,0.2222222222222222,10,7,False
RF,12,15,7,0.5833333333333334,8,5,False
RF,15,18,13,0.8666666666666667,5,2,False
RF,18,21,7,0.3888888888888889,14,11,False
TabM,3,6,1,0.3333333333333333,5,2,False
TabM,6,9,2,0.3333333333333333,7,4,False
TabM,9,12,3,0.3333333333333333,9,6,False
TabM,12,15,2,0.16666666666666666,13,10,False
TabM,15,18,4,0.26666666666666666,14,11,False
TabM,18,21,8,0.4444444444444444,13,10,False
MLR+RF,3,6,1,0.3333333333333333,5,2,False
MLR+RF,6,9,1,0.16666666666666666,8,5,False
MLR+RF,9,12,0,0.0,12,9,False
MLR+RF,12,15,4,0.3333333333333333,11,8,False
MLR+RF,15,18,9,0.6,9,6,False
MLR+RF,18,21,14,0.7777777777777778,7,4,False
