Architecture,Geometry,Budget,Rank,Source_unit,Ingredient_Class
MLR,MLR,3,1,Sorghum::RealV6_高粱_sample9,Sorghum
MLR,MLR,3,2,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
MLR,MLR,3,3,Rice bran::RealV6_米糠_sample6,Rice bran
MLR,MLR,6,1,Cassava::RealV6_木薯_sample1,Cassava
MLR,MLR,6,2,Paddy rice::RealV6_稻谷_sample10,Paddy rice
MLR,MLR,6,3,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
MLR,MLR,6,4,Sorghum::RealV6_高粱_sample1,Sorghum
MLR,MLR,6,5,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
MLR,MLR,6,6,Wheat::RealV6_小麦_sample4,Wheat
MLR,MLR,9,1,Barley::RealV6_大麦_sample6,Barley
MLR,MLR,9,2,Brown rice::RealV6_糙米_sample3,Brown rice
MLR,MLR,9,3,Cassava::RealV6_木薯_sample4,Cassava
MLR,MLR,9,4,Paddy rice::RealV6_稻谷_sample4,Paddy rice
MLR,MLR,9,5,Rapeseed cake::RealV6_菜籽饼_sample9,Rapeseed cake
MLR,MLR,9,6,Barley::RealV6_大麦_sample10,Barley
MLR,MLR,9,7,Sorghum::RealV6_高粱_sample9,Sorghum
MLR,MLR,9,8,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
MLR,MLR,9,9,Wheat::RealV6_小麦_sample2,Wheat
MLR,MLR,12,1,Barley::RealV6_大麦_sample6,Barley
MLR,MLR,12,2,Brown rice::RealV6_糙米_sample4,Brown rice
MLR,MLR,12,3,Brown rice::RealV6_糙米_sample5,Brown rice
MLR,MLR,12,4,Cassava::RealV6_木薯_sample2,Cassava
MLR,MLR,12,5,Cassava::RealV6_木薯_sample5,Cassava
MLR,MLR,12,6,Paddy rice::RealV6_稻谷_sample4,Paddy rice
MLR,MLR,12,7,Rapeseed cake::RealV6_菜籽饼_sample9,Rapeseed cake
MLR,MLR,12,8,Rice bran::RealV6_米糠_sample4,Rice bran
MLR,MLR,12,9,Barley::RealV6_大麦_sample9,Barley
MLR,MLR,12,10,Sorghum::RealV6_高粱_sample7,Sorghum
MLR,MLR,12,11,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
MLR,MLR,12,12,Wheat::RealV6_小麦_sample5,Wheat
MLR,MLR,15,1,Barley::RealV6_大麦_sample6,Barley
MLR,MLR,15,2,Barley::RealV6_大麦_sample10,Barley
MLR,MLR,15,3,Brown rice::RealV6_糙米_sample3,Brown rice
MLR,MLR,15,4,Brown rice::RealV6_糙米_sample9,Brown rice
MLR,MLR,15,5,Cassava::RealV6_木薯_sample2,Cassava
MLR,MLR,15,6,Cassava::RealV6_木薯_sample10,Cassava
MLR,MLR,15,7,Paddy rice::RealV6_稻谷_sample4,Paddy rice
MLR,MLR,15,8,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
MLR,MLR,15,9,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
MLR,MLR,15,10,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
MLR,MLR,15,11,Rice bran::RealV6_米糠_sample2,Rice bran
MLR,MLR,15,12,Rice bran::RealV6_米糠_sample10,Rice bran
MLR,MLR,15,13,Sorghum::RealV6_高粱_sample5,Sorghum
MLR,MLR,15,14,Wheat bran::RealV6_小麦麸_sample8,Wheat bran
MLR,MLR,15,15,Wheat::RealV6_小麦_sample2,Wheat
MLR,MLR,18,1,Barley::RealV6_大麦_sample6,Barley
MLR,MLR,18,2,Barley::RealV6_大麦_sample7,Barley
MLR,MLR,18,3,Brown rice::RealV6_糙米_sample3,Brown rice
MLR,MLR,18,4,Brown rice::RealV6_糙米_sample9,Brown rice
MLR,MLR,18,5,Cassava::RealV6_木薯_sample4,Cassava
MLR,MLR,18,6,Cassava::RealV6_木薯_sample10,Cassava
MLR,MLR,18,7,Paddy rice::RealV6_稻谷_sample1,Paddy rice
MLR,MLR,18,8,Paddy rice::RealV6_稻谷_sample7,Paddy rice
MLR,MLR,18,9,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
MLR,MLR,18,10,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
MLR,MLR,18,11,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
MLR,MLR,18,12,Rice bran::RealV6_米糠_sample7,Rice bran
MLR,MLR,18,13,Rice bran::RealV6_米糠_sample10,Rice bran
MLR,MLR,18,14,Rice bran::RealV6_米糠_sample5,Rice bran
MLR,MLR,18,15,Sorghum::RealV6_高粱_sample5,Sorghum
MLR,MLR,18,16,Wheat bran::RealV6_小麦麸_sample4,Wheat bran
MLR,MLR,18,17,Wheat::RealV6_小麦_sample1,Wheat
MLR,MLR,18,18,Wheat::RealV6_小麦_sample7,Wheat
MLR,MLR,21,1,Barley::RealV6_大麦_sample6,Barley
MLR,MLR,21,2,Barley::RealV6_大麦_sample7,Barley
MLR,MLR,21,3,Brown rice::RealV6_糙米_sample4,Brown rice
MLR,MLR,21,4,Brown rice::RealV6_糙米_sample9,Brown rice
