Architecture,Budget,P2_PAM_total_distance,Model_shape_reconstruction_RMSE,RBF_length_scale
MLR,3,222.1830914476665,0.29180222844742343,4.35445166824039
MLR,6,141.95280506743023,0.21870816480896788,4.35445166824039
MLR,9,106.39346633437665,0.15513815229649547,4.35445166824039
MLR,12,93.29820831942327,0.1445770278703503,4.35445166824039
MLR,15,83.99787940386511,0.07801180510163186,4.35445166824039
MLR,18,76.14116250512996,0.07392041148390446,4.35445166824039
MLR,21,69.38637094179268,0.06885740733146199,4.35445166824039
RF,3,222.1830914476665,0.31283999304240273,4.35445166824039
RF,6,141.95280506743023,0.178115593490125,4.35445166824039
RF,9,106.39346633437665,0.1519333541545552,4.35445166824039
RF,12,93.29820831942327,0.143311723208718,4.35445166824039
RF,15,83.99787940386511,0.13811518289995342,4.35445166824039
RF,18,76.14116250512996,0.13410550948576674,4.35445166824039
RF,21,69.38637094179268,0.1245056664012523,4.35445166824039
TabM,3,222.1830914476665,0.2638967579318226,4.35445166824039
TabM,6,141.95280506743023,0.1640846359597789,4.35445166824039
TabM,9,106.39346633437665,0.1448939192811869,4.35445166824039
TabM,12,93.29820831942327,0.12369146874115372,4.35445166824039
TabM,15,83.99787940386511,0.07038863345824821,4.35445166824039
TabM,18,76.14116250512996,0.06782313910789636,4.35445166824039
TabM,21,69.38637094179268,0.06606304759937201,4.35445166824039
MLR+RF,3,222.1830914476665,0.27023229288781747,4.35445166824039
MLR+RF,6,141.95280506743023,0.1526712190959182,4.35445166824039
MLR+RF,9,106.39346633437665,0.1319761157863349,4.35445166824039
MLR+RF,12,93.29820831942327,0.11939549102928618,4.35445166824039
MLR+RF,15,83.99787940386511,0.09993486927355107,4.35445166824039
MLR+RF,18,76.14116250512996,0.09208559725833994,4.35445166824039
MLR+RF,21,69.38637094179268,0.09033024331331611,4.35445166824039
