Record_ID,Study_ID,Experiment_ID,Treatment_ID,Stage_Group_std,Initial_BW_kg,DMI_kg_d,Analysis_N_Intake_g_d,Analysis_Diet_CP_pct_DM,Analysis_Diet_EE_pct_DM,Analysis_Diet_NDF_pct_DM,Analysis_Diet_ADF_pct_DM,Analysis_Diet_Starch_pct_DM,Diet_Ash_pct_DM,Analysis_Fecal_N_g_d,Analysis_Urinary_N_g_d,Reference_Control,P2_Source,Starch_imputed_from_906_median,N_to_DMI_g_kg,DMI_per_BW,N_Intake_per_BW,Analysis_Total_N_Excretion_g_d,Analysis_Retained_N_g_d,Data_source,Grain,Renteria2008_mapping_recovered,Source_Notes
SOW119_SOW_037,Yang2021,Yang2021_early_gilt,NP-DF,gestating_sow,143.0,1.9073252,44.1,14.4508655367,5.46411521224,13.5019090819,3.92028027523,55.8605387272,,5.93,19.68,False,SOW_Core_73,False,23.12138485875403,0.0133379384615384,0.3083916083916084,25.61,18.49,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_038,Yang2021,Yang2021_early_gilt,NP+DF,gestating_sow,143.0,2.09500297778,44.1,13.1563058823,4.97462044233,19.1446443852,10.4213717819,50.8563540626,,6.83,18.15,False,SOW_Core_73,False,21.05008941167769,0.014650370473986,0.3083916083916084,24.98,19.120000000000005,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_039,Yang2021,Yang2021_early_gilt,LP-DF,gestating_sow,143.0,1.9069038,36.56,11.9827754289,5.4988504192,13.2231156391,3.55672543104,61.0454488055,,6.27,15.26,False,SOW_Core_73,False,19.17244068631045,0.0133349916083916,0.2556643356643356,21.53,15.03,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_040,Yang2021,Yang2021_early_gilt,LP+DF,gestating_sow,143.0,2.09458157778,36.56,10.9091000525,5.00614484117,18.891966508,10.0916999461,55.5756813366,,5.68,12.57,False,SOW_Core_73,False,17.454560083904262,0.0146474236208391,0.2556643356643356,18.25,18.31,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_041,Yang2021,Yang2021_mid_gilt,NP-DF,gestating_sow,143.0,1.9073252,44.1,14.4508655367,5.46411521224,13.5019090819,3.92028027523,55.8605387272,,4.9,21.86,False,SOW_Core_73,False,23.12138485875403,0.0133379384615384,0.3083916083916084,26.76,17.340000000000003,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_042,Yang2021,Yang2021_mid_gilt,NP+DF,gestating_sow,143.0,2.09500297778,44.1,13.1563058823,4.97462044233,19.1446443852,10.4213717819,50.8563540626,,6.6,19.12,False,SOW_Core_73,False,21.05008941167769,0.014650370473986,0.3083916083916084,25.72,18.380000000000003,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_043,Yang2021,Yang2021_mid_gilt,LP-DF,gestating_sow,143.0,1.9069038,36.56,11.9827754289,5.4988504192,13.2231156391,3.55672543104,61.0454488055,,4.9,17.08,False,SOW_Core_73,False,19.17244068631045,0.0133349916083916,0.2556643356643356,21.98,14.580000000000004,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_044,Yang2021,Yang2021_mid_gilt,LP+DF,gestating_sow,143.0,2.09458157778,36.56,10.9091000525,5.00614484117,18.891966508,10.0916999461,55.5756813366,,5.56,12.23,False,SOW_Core_73,False,17.454560083904262,0.0146474236208391,0.2556643356643356,17.79,18.770000000000003,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_045,Yang2021,Yang2021_late_gilt,NP-DF,gestating_sow,143.0,2.37750304,54.96,14.4479310529,5.46411521224,13.5019090819,3.92028027523,55.8605387272,,7.88,18.37,False,SOW_Core_73,False,23.11668968465336,0.0166258953846153,0.3843356643356643,26.25,28.71,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
SOW119_SOW_046,Yang2021,Yang2021_late_gilt,NP+DF,gestating_sow,143.0,2.61456970667,54.96,13.1379170777,4.96867629686,19.2131665464,10.5003173315,50.7955860964,,8.61,16.6,False,SOW_Core_73,False,21.02066732426072,0.0182837042424475,0.3843356643356643,25.21,29.75,SOW80 analysis dataset,treatment_or_stage_mean_not_individual_pig,False,SOW80 P2 row; numerically cross-checked against SOW53/SOW119/SOW144 source authorities where overlapping.
