Record_ID,Source_unit,Ingredient_Class,Ingredient_Class_CN,Sample_ID,Pig_Ordinal,Stage_Group_std,Initial_BW_kg,DMI_kg_d,N_Intake_g_d,Analysis_N_Intake_g_d,Analysis_Fecal_N_g_d,Analysis_Urinary_N_g_d,Analysis_Retained_N_g_d,Analysis_Total_N_Excretion_g_d,N_to_DMI_g_kg,DMI_per_BW,N_Intake_per_BW,Analysis_Diet_CP_pct_DM,Analysis_Diet_EE_pct_DM,Analysis_Diet_NDF_pct_DM,Analysis_Diet_ADF_pct_DM,Diet_Ash_pct_DM,Analysis_Diet_Starch_pct_DM,Diet_DM_pct_asfed,Raw_Diet_CP_pct_asfed,Raw_Diet_CP_pct_DM_derived,CP_N_consistent_minus_raw_DM,CP_consistency_status,Reported_BW_text,Backcalculated_BW_kg_not_used,Origin,Formula_Provenance,Starch_rule,BW_rule,DMI_NI_decision_time_rule,P2_source,Mass_balance_error_g_d
REALV6R_0061,Barley::RealV6_大麦_sample1,Barley,大麦,1,1,growing,29.5,0.53046,13.323375000000002,13.323375000000002,1.748972048299774,1.5921071875,9.982295764200227,3.341079235799774,25.116644044791315,0.01798169491525424,0.45163983050847467,15.697902527994573,2.171700033932813,20.778192512159258,4.592240696753761,5.395317271801832,,88.41,13.88,15.699581495305962,-0.0016789673113883907,CONSISTENT,29.5±1.3 kg,15.0,"Ukrainian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,1.7763568394002505e-15
REALV6R_0062,Barley::RealV6_大麦_sample1,Barley,大麦,1,2,growing,29.5,0.53046,13.323375000000002,13.323375000000002,1.818797651758154,4.0902518125,7.414325535741848,5.909049464258154,25.116644044791315,0.01798169491525424,0.45163983050847467,15.697902527994573,2.171700033932813,20.778192512159258,4.592240696753761,5.395317271801832,,88.41,13.88,15.699581495305962,-0.0016789673113883907,CONSISTENT,29.5±1.3 kg,15.0,"Ukrainian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,8.881784197001252e-16
REALV6R_0063,Barley::RealV6_大麦_sample1,Barley,大麦,1,3,growing,29.5,0.53046,13.323375000000002,13.323375000000002,1.898294763568601,2.0280118125,9.397068423931401,3.926306576068601,25.116644044791315,0.01798169491525424,0.45163983050847467,15.697902527994573,2.171700033932813,20.778192512159258,4.592240696753761,5.395317271801832,,88.41,13.88,15.699581495305962,-0.0016789673113883907,CONSISTENT,29.5±1.3 kg,15.0,"Ukrainian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
REALV6R_0064,Barley::RealV6_大麦_sample1,Barley,大麦,1,4,growing,29.5,0.53046,13.323375000000002,13.323375000000002,1.788985723330168,4.460007750000001,7.074381526669834,6.248993473330168,25.116644044791315,0.01798169491525424,0.45163983050847467,15.697902527994573,2.171700033932813,20.778192512159258,4.592240696753761,5.395317271801832,,88.41,13.88,15.699581495305962,-0.0016789673113883907,CONSISTENT,29.5±1.3 kg,15.0,"Ukrainian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
REALV6R_0065,Barley::RealV6_大麦_sample1,Barley,大麦,1,5,growing,29.5,0.53046,13.323375000000002,13.323375000000002,1.608504984618891,3.547650312500001,8.167219702881109,5.156155297118892,25.116644044791315,0.01798169491525424,0.45163983050847467,15.697902527994573,2.171700033932813,20.778192512159258,4.592240696753761,5.395317271801832,,88.41,13.88,15.699581495305962,-0.0016789673113883907,CONSISTENT,29.5±1.3 kg,15.0,"Ukrainian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
REALV6R_0066,Barley::RealV6_大麦_sample1,Barley,大麦,1,6,growing,29.5,0.53046,13.323375000000002,13.323375000000002,1.990985826572806,3.0749203125,8.257468860927196,5.065906139072807,25.116644044791315,0.01798169491525424,0.45163983050847467,15.697902527994573,2.171700033932813,20.778192512159258,4.592240696753761,5.395317271801832,,88.41,13.88,15.699581495305962,-0.0016789673113883907,CONSISTENT,29.5±1.3 kg,15.0,"Ukrainian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
REALV6R_0067,Barley::RealV6_大麦_sample2,Barley,大麦,2,1,growing,29.5,0.5275799999999999,12.872249999999998,12.872249999999998,2.514460252430183,1.166983125,9.190806622569815,3.681443377430183,24.39866939611054,0.017884067796610167,0.4363474576271186,15.249168372569088,2.3541453428863868,20.01592175594223,4.617309223245764,5.2655521437507105,,87.92999999999999,13.41,15.250767656090073,-0.0015992835209850398,CONSISTENT,29.5±1.3 kg,15.0,"Australian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
REALV6R_0068,Barley::RealV6_大麦_sample2,Barley,大麦,2,2,growing,29.5,0.5275799999999999,12.872249999999998,12.872249999999998,2.113109516607147,3.6160540625,7.143086420892851,5.729163579107147,24.39866939611054,0.017884067796610167,0.4363474576271186,15.249168372569088,2.3541453428863868,20.01592175594223,4.617309223245764,5.2655521437507105,,87.92999999999999,13.41,15.250767656090073,-0.0015992835209850398,CONSISTENT,29.5±1.3 kg,15.0,"Australian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,8.881784197001252e-16
REALV6R_0069,Barley::RealV6_大麦_sample2,Barley,大麦,2,3,growing,29.5,0.5275799999999999,12.872249999999998,12.872249999999998,2.371679783093356,2.081489375,8.419080841906641,4.453169158093356,24.39866939611054,0.017884067796610167,0.4363474576271186,15.249168372569088,2.3541453428863868,20.01592175594223,4.617309223245764,5.2655521437507105,,87.92999999999999,13.41,15.250767656090073,-0.0015992835209850398,CONSISTENT,29.5±1.3 kg,15.0,"Australian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
REALV6R_0070,Barley::RealV6_大麦_sample2,Barley,大麦,2,4,growing,29.5,0.5275799999999999,12.872249999999998,12.872249999999998,2.021092648412125,3.140229375,7.710927976587872,5.161322023412126,24.39866939611054,0.017884067796610167,0.4363474576271186,15.249168372569088,2.3541453428863868,20.01592175594223,4.617309223245764,5.2655521437507105,,87.92999999999999,13.41,15.250767656090073,-0.0015992835209850398,CONSISTENT,29.5±1.3 kg,15.0,"Australian barley — Shanghai port, Shanghai, China",Barley paper Table 4,MISSING_IN_TARGET__IMPUTED_906_TRAINING_MEDIAN,REPORTED_INITIAL_BW__NOT_DMI_BACKCALCULATION,RETROSPECTIVE_PRE_FN_UN_LAB_INFORMATION,TARGET_DM_CP_N_HARMONIZED_AND_CHEMISTRY_CROSSCHECKED,0.0
