Realization,Block,Rotation,Source_unit,Record_ID,Pig_Ordinal
0,0,0,Barley::RealV6_大麦_sample1,REALV6R_0061,1
0,0,0,Barley::RealV6_大麦_sample10,REALV6R_0115,1
0,0,0,Barley::RealV6_大麦_sample2,REALV6R_0071,5
0,0,0,Barley::RealV6_大麦_sample3,REALV6R_0076,4
0,0,0,Barley::RealV6_大麦_sample4,REALV6R_0083,5
0,0,0,Barley::RealV6_大麦_sample5,REALV6R_0090,6
0,0,0,Barley::RealV6_大麦_sample6,REALV6R_0095,5
0,0,0,Barley::RealV6_大麦_sample7,REALV6R_0101,5
0,0,0,Barley::RealV6_大麦_sample8,REALV6R_0103,1
0,0,0,Barley::RealV6_大麦_sample9,REALV6R_0114,6
0,0,0,Brown rice::RealV6_糙米_sample1,REALV6R_0428,2
0,0,0,Brown rice::RealV6_糙米_sample10,REALV6R_0485,5
0,0,0,Brown rice::RealV6_糙米_sample2,REALV6R_0435,3
0,0,0,Brown rice::RealV6_糙米_sample3,REALV6R_0441,3
0,0,0,Brown rice::RealV6_糙米_sample4,REALV6R_0449,5
0,0,0,Brown rice::RealV6_糙米_sample5,REALV6R_0456,6
0,0,0,Brown rice::RealV6_糙米_sample6,REALV6R_0458,2
0,0,0,Brown rice::RealV6_糙米_sample7,REALV6R_0465,3
0,0,0,Brown rice::RealV6_糙米_sample8,REALV6R_0474,6
0,0,0,Brown rice::RealV6_糙米_sample9,REALV6R_0476,2
0,0,0,Cassava::RealV6_木薯_sample1,REALV6R_0304,4
0,0,0,Cassava::RealV6_木薯_sample10,REALV6R_0360,6
0,0,0,Cassava::RealV6_木薯_sample2,REALV6R_0308,2
0,0,0,Cassava::RealV6_木薯_sample3,REALV6R_0317,5
0,0,0,Cassava::RealV6_木薯_sample4,REALV6R_0319,1
0,0,0,Cassava::RealV6_木薯_sample5,REALV6R_0329,5
0,0,0,Cassava::RealV6_木薯_sample6,REALV6R_0335,5
0,0,0,Cassava::RealV6_木薯_sample7,REALV6R_0340,4
0,0,0,Cassava::RealV6_木薯_sample8,REALV6R_0346,4
0,0,0,Cassava::RealV6_木薯_sample9,REALV6R_0353,5
0,0,0,Paddy rice::RealV6_稻谷_sample1,REALV6R_0365,5
0,0,0,Paddy rice::RealV6_稻谷_sample10,REALV6R_0415,1
0,0,0,Paddy rice::RealV6_稻谷_sample11,REALV6R_0424,4
0,0,0,Paddy rice::RealV6_稻谷_sample2,REALV6R_0367,1
0,0,0,Paddy rice::RealV6_稻谷_sample3,REALV6R_0378,6
0,0,0,Paddy rice::RealV6_稻谷_sample4,REALV6R_0382,4
0,0,0,Paddy rice::RealV6_稻谷_sample5,REALV6R_0386,2
0,0,0,Paddy rice::RealV6_稻谷_sample6,REALV6R_0391,1
0,0,0,Paddy rice::RealV6_稻谷_sample7,REALV6R_0400,4
0,0,0,Paddy rice::RealV6_稻谷_sample8,REALV6R_0408,6
0,0,0,Paddy rice::RealV6_稻谷_sample9,REALV6R_0411,3
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample1,REALV6R_0004,4
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample10,REALV6R_0058,4
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample2,REALV6R_0012,6
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample3,REALV6R_0017,5
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample4,REALV6R_0022,4
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample5,REALV6R_0027,3
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample6,REALV6R_0032,2
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample7,REALV6R_0042,6
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample8,REALV6R_0047,5
0,0,0,Rapeseed cake::RealV6_菜籽饼_sample9,REALV6R_0054,6
0,0,0,Rice bran::RealV6_米糠_sample1,REALV6R_0126,6
0,0,0,Rice bran::RealV6_米糠_sample10,REALV6R_0180,6
0,0,0,Rice bran::RealV6_米糠_sample2,REALV6R_0131,5
0,0,0,Rice bran::RealV6_米糠_sample3,REALV6R_0134,2
0,0,0,Rice bran::RealV6_米糠_sample4,REALV6R_0139,1
0,0,0,Rice bran::RealV6_米糠_sample5,REALV6R_0146,2
0,0,0,Rice bran::RealV6_米糠_sample6,REALV6R_0153,3
0,0,0,Rice bran::RealV6_米糠_sample7,REALV6R_0158,2
0,0,0,Rice bran::RealV6_米糠_sample8,REALV6R_0167,5
0,0,0,Rice bran::RealV6_米糠_sample9,REALV6R_0171,3
0,0,0,Sorghum::RealV6_高粱_sample1,REALV6R_0245,5
0,0,0,Sorghum::RealV6_高粱_sample10,REALV6R_0297,3
0,0,0,Sorghum::RealV6_高粱_sample2,REALV6R_0249,3
0,0,0,Sorghum::RealV6_高粱_sample3,REALV6R_0255,3
0,0,0,Sorghum::RealV6_高粱_sample4,REALV6R_0264,6
0,0,0,Sorghum::RealV6_高粱_sample5,REALV6R_0268,4
0,0,0,Sorghum::RealV6_高粱_sample6,REALV6R_0274,4
0,0,0,Sorghum::RealV6_高粱_sample7,REALV6R_0279,3
0,0,0,Sorghum::RealV6_高粱_sample8,REALV6R_0284,2
0,0,0,Sorghum::RealV6_高粱_sample9,REALV6R_0292,4
0,0,0,Wheat bran::RealV6_小麦麸_sample1,REALV6R_0185,5
0,0,0,Wheat bran::RealV6_小麦麸_sample10,REALV6R_0236,2
0,0,0,Wheat bran::RealV6_小麦麸_sample2,REALV6R_0191,5
0,0,0,Wheat bran::RealV6_小麦麸_sample3,REALV6R_0195,3
0,0,0,Wheat bran::RealV6_小麦麸_sample4,REALV6R_0203,5
0,0,0,Wheat bran::RealV6_小麦麸_sample5,REALV6R_0208,4
0,0,0,Wheat bran::RealV6_小麦麸_sample6,REALV6R_0214,4
0,0,0,Wheat bran::RealV6_小麦麸_sample7,REALV6R_0218,2
0,0,0,Wheat bran::RealV6_小麦麸_sample8,REALV6R_0228,6
0,0,0,Wheat bran::RealV6_小麦麸_sample9,REALV6R_0230,2
0,0,0,Wheat::RealV6_小麦_sample1,REALV6R_0490,4
0,0,0,Wheat::RealV6_小麦_sample10,REALV6R_0543,3
0,0,0,Wheat::RealV6_小麦_sample2,REALV6R_0497,5
0,0,0,Wheat::RealV6_小麦_sample3,REALV6R_0501,3
0,0,0,Wheat::RealV6_小麦_sample4,REALV6R_0505,1
0,0,0,Wheat::RealV6_小麦_sample5,REALV6R_0513,3
0,0,0,Wheat::RealV6_小麦_sample6,REALV6R_0517,1
0,0,0,Wheat::RealV6_小麦_sample7,REALV6R_0526,4
0,0,0,Wheat::RealV6_小麦_sample8,REALV6R_0530,2
0,0,0,Wheat::RealV6_小麦_sample9,REALV6R_0536,2
1,0,1,Barley::RealV6_大麦_sample1,REALV6R_0064,4
1,0,1,Barley::RealV6_大麦_sample10,REALV6R_0116,2
1,0,1,Barley::RealV6_大麦_sample2,REALV6R_0068,2
1,0,1,Barley::RealV6_大麦_sample3,REALV6R_0074,2
1,0,1,Barley::RealV6_大麦_sample4,REALV6R_0079,1
1,0,1,Barley::RealV6_大麦_sample5,REALV6R_0085,1
1,0,1,Barley::RealV6_大麦_sample6,REALV6R_0091,1
1,0,1,Barley::RealV6_大麦_sample7,REALV6R_0100,4
1,0,1,Barley::RealV6_大麦_sample8,REALV6R_0105,3
1,0,1,Barley::RealV6_大麦_sample9,REALV6R_0109,1
1,0,1,Brown rice::RealV6_糙米_sample1,REALV6R_0430,4
1,0,1,Brown rice::RealV6_糙米_sample10,REALV6R_0484,4
1,0,1,Brown rice::RealV6_糙米_sample2,REALV6R_0433,1
1,0,1,Brown rice::RealV6_糙米_sample3,REALV6R_0440,2
1,0,1,Brown rice::RealV6_糙米_sample4,REALV6R_0447,3
1,0,1,Brown rice::RealV6_糙米_sample5,REALV6R_0451,1
1,0,1,Brown rice::RealV6_糙米_sample6,REALV6R_0462,6
1,0,1,Brown rice::RealV6_糙米_sample7,REALV6R_0464,2
1,0,1,Brown rice::RealV6_糙米_sample8,REALV6R_0472,4
1,0,1,Brown rice::RealV6_糙米_sample9,REALV6R_0475,1
1,0,1,Cassava::RealV6_木薯_sample1,REALV6R_0301,1
1,0,1,Cassava::RealV6_木薯_sample10,REALV6R_0358,4
1,0,1,Cassava::RealV6_木薯_sample2,REALV6R_0311,5
1,0,1,Cassava::RealV6_木薯_sample3,REALV6R_0316,4
1,0,1,Cassava::RealV6_木薯_sample4,REALV6R_0320,2
1,0,1,Cassava::RealV6_木薯_sample5,REALV6R_0330,6
1,0,1,Cassava::RealV6_木薯_sample6,REALV6R_0333,3
1,0,1,Cassava::RealV6_木薯_sample7,REALV6R_0341,5
1,0,1,Cassava::RealV6_木薯_sample8,REALV6R_0348,6
1,0,1,Cassava::RealV6_木薯_sample9,REALV6R_0350,2
1,0,1,Paddy rice::RealV6_稻谷_sample1,REALV6R_0362,2
1,0,1,Paddy rice::RealV6_稻谷_sample10,REALV6R_0417,3
1,0,1,Paddy rice::RealV6_稻谷_sample11,REALV6R_0421,1
1,0,1,Paddy rice::RealV6_稻谷_sample2,REALV6R_0369,3
1,0,1,Paddy rice::RealV6_稻谷_sample3,REALV6R_0376,4
1,0,1,Paddy rice::RealV6_稻谷_sample4,REALV6R_0383,5
1,0,1,Paddy rice::RealV6_稻谷_sample5,REALV6R_0390,6
1,0,1,Paddy rice::RealV6_稻谷_sample6,REALV6R_0396,6
1,0,1,Paddy rice::RealV6_稻谷_sample7,REALV6R_0397,1
1,0,1,Paddy rice::RealV6_稻谷_sample8,REALV6R_0406,4
1,0,1,Paddy rice::RealV6_稻谷_sample9,REALV6R_0413,5
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample1,REALV6R_0006,6
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample10,REALV6R_0059,5
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample2,REALV6R_0008,2
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample3,REALV6R_0014,2
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample4,REALV6R_0024,6
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample5,REALV6R_0030,6
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample6,REALV6R_0035,5
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample7,REALV6R_0040,4
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample8,REALV6R_0043,1
1,0,1,Rapeseed cake::RealV6_菜籽饼_sample9,REALV6R_0050,2
1,0,1,Rice bran::RealV6_米糠_sample1,REALV6R_0121,1
1,0,1,Rice bran::RealV6_米糠_sample10,REALV6R_0177,3
1,0,1,Rice bran::RealV6_米糠_sample2,REALV6R_0129,3
1,0,1,Rice bran::RealV6_米糠_sample3,REALV6R_0138,6
1,0,1,Rice bran::RealV6_米糠_sample4,REALV6R_0141,3
1,0,1,Rice bran::RealV6_米糠_sample5,REALV6R_0148,4
1,0,1,Rice bran::RealV6_米糠_sample6,REALV6R_0156,6
1,0,1,Rice bran::RealV6_米糠_sample7,REALV6R_0161,5
1,0,1,Rice bran::RealV6_米糠_sample8,REALV6R_0166,4
1,0,1,Rice bran::RealV6_米糠_sample9,REALV6R_0169,1
1,0,1,Sorghum::RealV6_高粱_sample1,REALV6R_0241,1
1,0,1,Sorghum::RealV6_高粱_sample10,REALV6R_0299,5
1,0,1,Sorghum::RealV6_高粱_sample2,REALV6R_0247,1
1,0,1,Sorghum::RealV6_高粱_sample3,REALV6R_0253,1
1,0,1,Sorghum::RealV6_高粱_sample4,REALV6R_0263,5
1,0,1,Sorghum::RealV6_高粱_sample5,REALV6R_0265,1
1,0,1,Sorghum::RealV6_高粱_sample6,REALV6R_0275,5
1,0,1,Sorghum::RealV6_高粱_sample7,REALV6R_0278,2
1,0,1,Sorghum::RealV6_高粱_sample8,REALV6R_0283,1
1,0,1,Sorghum::RealV6_高粱_sample9,REALV6R_0290,2
1,0,1,Wheat bran::RealV6_小麦麸_sample1,REALV6R_0183,3
1,0,1,Wheat bran::RealV6_小麦麸_sample10,REALV6R_0238,4
1,0,1,Wheat bran::RealV6_小麦麸_sample2,REALV6R_0188,2
1,0,1,Wheat bran::RealV6_小麦麸_sample3,REALV6R_0198,6
1,0,1,Wheat bran::RealV6_小麦麸_sample4,REALV6R_0202,4
1,0,1,Wheat bran::RealV6_小麦麸_sample5,REALV6R_0206,2
1,0,1,Wheat bran::RealV6_小麦麸_sample6,REALV6R_0216,6
1,0,1,Wheat bran::RealV6_小麦麸_sample7,REALV6R_0219,3
1,0,1,Wheat bran::RealV6_小麦麸_sample8,REALV6R_0223,1
1,0,1,Wheat bran::RealV6_小麦麸_sample9,REALV6R_0232,4
1,0,1,Wheat::RealV6_小麦_sample1,REALV6R_0492,6
1,0,1,Wheat::RealV6_小麦_sample10,REALV6R_0542,2
1,0,1,Wheat::RealV6_小麦_sample2,REALV6R_0495,3
