Realization,Budget,Rank,Source_unit,Ingredient_Class
0,3,1,Brown rice::RealV6_糙米_sample4,Brown rice
0,3,2,Barley::RealV6_大麦_sample5,Barley
0,3,3,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
0,6,1,Brown rice::RealV6_糙米_sample4,Brown rice
0,6,2,Barley::RealV6_大麦_sample5,Barley
0,6,3,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
0,6,4,Rice bran::RealV6_米糠_sample8,Rice bran
0,6,5,Rice bran::RealV6_米糠_sample5,Rice bran
0,6,6,Barley::RealV6_大麦_sample9,Barley
0,9,1,Brown rice::RealV6_糙米_sample4,Brown rice
0,9,2,Barley::RealV6_大麦_sample5,Barley
0,9,3,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
0,9,4,Rice bran::RealV6_米糠_sample8,Rice bran
0,9,5,Rice bran::RealV6_米糠_sample5,Rice bran
0,9,6,Barley::RealV6_大麦_sample9,Barley
0,9,7,Cassava::RealV6_木薯_sample4,Cassava
0,9,8,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
0,9,9,Barley::RealV6_大麦_sample2,Barley
0,12,1,Brown rice::RealV6_糙米_sample4,Brown rice
0,12,2,Barley::RealV6_大麦_sample5,Barley
0,12,3,Wheat bran::RealV6_小麦麸_sample3,Wheat bran
0,12,4,Rice bran::RealV6_米糠_sample8,Rice bran
0,12,5,Rice bran::RealV6_米糠_sample5,Rice bran
0,12,6,Barley::RealV6_大麦_sample9,Barley
0,12,7,Cassava::RealV6_木薯_sample4,Cassava
0,12,8,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
0,12,9,Barley::RealV6_大麦_sample2,Barley
0,12,10,Cassava::RealV6_木薯_sample2,Cassava
0,12,11,Brown rice::RealV6_糙米_sample9,Brown rice
0,12,12,Barley::RealV6_大麦_sample1,Barley
1,3,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
1,3,2,Cassava::RealV6_木薯_sample10,Cassava
1,3,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
1,6,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
1,6,2,Cassava::RealV6_木薯_sample10,Cassava
1,6,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
1,6,4,Sorghum::RealV6_高粱_sample5,Sorghum
1,6,5,Wheat::RealV6_小麦_sample5,Wheat
1,6,6,Wheat::RealV6_小麦_sample10,Wheat
1,9,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
1,9,2,Cassava::RealV6_木薯_sample10,Cassava
1,9,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
1,9,4,Sorghum::RealV6_高粱_sample5,Sorghum
1,9,5,Wheat::RealV6_小麦_sample5,Wheat
1,9,6,Wheat::RealV6_小麦_sample10,Wheat
1,9,7,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
1,9,8,Sorghum::RealV6_高粱_sample10,Sorghum
1,9,9,Sorghum::RealV6_高粱_sample3,Sorghum
1,12,1,Rapeseed cake::RealV6_菜籽饼_sample5,Rapeseed cake
1,12,2,Cassava::RealV6_木薯_sample10,Cassava
1,12,3,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
1,12,4,Sorghum::RealV6_高粱_sample5,Sorghum
1,12,5,Wheat::RealV6_小麦_sample5,Wheat
1,12,6,Wheat::RealV6_小麦_sample10,Wheat
1,12,7,Wheat bran::RealV6_小麦麸_sample6,Wheat bran
1,12,8,Sorghum::RealV6_高粱_sample10,Sorghum
1,12,9,Sorghum::RealV6_高粱_sample3,Sorghum
1,12,10,Paddy rice::RealV6_稻谷_sample7,Paddy rice
1,12,11,Paddy rice::RealV6_稻谷_sample6,Paddy rice
1,12,12,Brown rice::RealV6_糙米_sample6,Brown rice
2,3,1,Sorghum::RealV6_高粱_sample1,Sorghum
2,3,2,Paddy rice::RealV6_稻谷_sample8,Paddy rice
2,3,3,Barley::RealV6_大麦_sample2,Barley
2,6,1,Sorghum::RealV6_高粱_sample1,Sorghum
2,6,2,Paddy rice::RealV6_稻谷_sample8,Paddy rice
2,6,3,Barley::RealV6_大麦_sample2,Barley
2,6,4,Cassava::RealV6_木薯_sample3,Cassava
2,6,5,Wheat bran::RealV6_小麦麸_sample4,Wheat bran
2,6,6,Barley::RealV6_大麦_sample7,Barley
2,9,1,Sorghum::RealV6_高粱_sample1,Sorghum
2,9,2,Paddy rice::RealV6_稻谷_sample8,Paddy rice
2,9,3,Barley::RealV6_大麦_sample2,Barley
2,9,4,Cassava::RealV6_木薯_sample3,Cassava
2,9,5,Wheat bran::RealV6_小麦麸_sample4,Wheat bran
2,9,6,Barley::RealV6_大麦_sample7,Barley
2,9,7,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
2,9,8,Wheat::RealV6_小麦_sample6,Wheat
2,9,9,Wheat::RealV6_小麦_sample3,Wheat
2,12,1,Sorghum::RealV6_高粱_sample1,Sorghum
2,12,2,Paddy rice::RealV6_稻谷_sample8,Paddy rice
2,12,3,Barley::RealV6_大麦_sample2,Barley
2,12,4,Cassava::RealV6_木薯_sample3,Cassava
2,12,5,Wheat bran::RealV6_小麦麸_sample4,Wheat bran
2,12,6,Barley::RealV6_大麦_sample7,Barley
2,12,7,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
2,12,8,Wheat::RealV6_小麦_sample6,Wheat
2,12,9,Wheat::RealV6_小麦_sample3,Wheat
2,12,10,Wheat::RealV6_小麦_sample8,Wheat
2,12,11,Brown rice::RealV6_糙米_sample6,Brown rice
2,12,12,Barley::RealV6_大麦_sample5,Barley
3,3,1,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
3,3,2,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
3,3,3,Barley::RealV6_大麦_sample6,Barley
3,6,1,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
3,6,2,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
3,6,3,Barley::RealV6_大麦_sample6,Barley
3,6,4,Brown rice::RealV6_糙米_sample2,Brown rice
3,6,5,Paddy rice::RealV6_稻谷_sample7,Paddy rice
3,6,6,Sorghum::RealV6_高粱_sample3,Sorghum
3,9,1,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
3,9,2,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
3,9,3,Barley::RealV6_大麦_sample6,Barley
3,9,4,Brown rice::RealV6_糙米_sample2,Brown rice
3,9,5,Paddy rice::RealV6_稻谷_sample7,Paddy rice
3,9,6,Sorghum::RealV6_高粱_sample3,Sorghum
3,9,7,Rice bran::RealV6_米糠_sample7,Rice bran
3,9,8,Rice bran::RealV6_米糠_sample9,Rice bran
3,9,9,Barley::RealV6_大麦_sample1,Barley
3,12,1,Wheat bran::RealV6_小麦麸_sample2,Wheat bran
3,12,2,Rapeseed cake::RealV6_菜籽饼_sample2,Rapeseed cake
3,12,3,Barley::RealV6_大麦_sample6,Barley
3,12,4,Brown rice::RealV6_糙米_sample2,Brown rice
3,12,5,Paddy rice::RealV6_稻谷_sample7,Paddy rice
3,12,6,Sorghum::RealV6_高粱_sample3,Sorghum
3,12,7,Rice bran::RealV6_米糠_sample7,Rice bran
3,12,8,Rice bran::RealV6_米糠_sample9,Rice bran
3,12,9,Barley::RealV6_大麦_sample1,Barley
3,12,10,Paddy rice::RealV6_稻谷_sample9,Paddy rice
3,12,11,Rapeseed cake::RealV6_菜籽饼_sample9,Rapeseed cake
3,12,12,Paddy rice::RealV6_稻谷_sample2,Paddy rice
4,3,1,Wheat::RealV6_小麦_sample2,Wheat
4,3,2,Paddy rice::RealV6_稻谷_sample6,Paddy rice
4,3,3,Wheat::RealV6_小麦_sample3,Wheat
4,6,1,Wheat::RealV6_小麦_sample2,Wheat
4,6,2,Paddy rice::RealV6_稻谷_sample6,Paddy rice
4,6,3,Wheat::RealV6_小麦_sample3,Wheat
4,6,4,Cassava::RealV6_木薯_sample5,Cassava
4,6,5,Wheat::RealV6_小麦_sample8,Wheat
4,6,6,Barley::RealV6_大麦_sample3,Barley
4,9,1,Wheat::RealV6_小麦_sample2,Wheat
4,9,2,Paddy rice::RealV6_稻谷_sample6,Paddy rice
4,9,3,Wheat::RealV6_小麦_sample3,Wheat
4,9,4,Cassava::RealV6_木薯_sample5,Cassava
4,9,5,Wheat::RealV6_小麦_sample8,Wheat
4,9,6,Barley::RealV6_大麦_sample3,Barley
4,9,7,Rice bran::RealV6_米糠_sample4,Rice bran
4,9,8,Rapeseed cake::RealV6_菜籽饼_sample8,Rapeseed cake
4,9,9,Paddy rice::RealV6_稻谷_sample8,Paddy rice
4,12,1,Wheat::RealV6_小麦_sample2,Wheat
4,12,2,Paddy rice::RealV6_稻谷_sample6,Paddy rice
4,12,3,Wheat::RealV6_小麦_sample3,Wheat
4,12,4,Cassava::RealV6_木薯_sample5,Cassava
4,12,5,Wheat::RealV6_小麦_sample8,Wheat
