Study_ID,Analysis_Split,Records_in_historical_906,Author_Year,Year,DOI_or_Link,Persistent_identifier_status,Canonical_Title_v35,Canonical_DOI_v35,Alignment_Status_v35,Evidence_URL_v35,Experiments_n,Records_n,Collection_methods,CLEAR_records,TRACEABLE_CAVEAT_records,REVIEW_FLAG_records,Best_Available_Title,Best_Available_Source_Identifier,Best_Identifier_Source,External_Verification_Date,Metadata_note
Antezana2015_AFST,confirmation,5,Antezana_2015,2015,https://doi.org/10.1016/j.anifeedsci.2015.07.022,available_in_V44_study_index,nutrition digestion efficiency emissions distillate supplementation,10.1016/j.anifeedsci.2015.07.022,SOURCE_VERIFIED_V33,https://doi.org/10.1016/j.anifeedsci.2015.07.022,1,5,metabolism crate total collection,0,0,5,,https://doi.org/10.1016/j.anifeedsci.2015.07.022,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Atakora2011_BarleyCornCP,confirmation,5,Atakora_2011a,2011,https://doi.org/10.1016/j.anifeedsci.2011.04.029,available_in_V44_study_index,available ScienceDirect homepage: www.elsevier.com/locate/anifeedsci,10.1016/j.anifeedsci.2011.04.029,SOURCE_VERIFIED_V33,https://doi.org/10.1016/j.anifeedsci.2011.04.029,1,5,metabolism crates; 7-d total feces/urine collection + indirect calorimetry,0,0,5,,https://doi.org/10.1016/j.anifeedsci.2011.04.029,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Atakora2011_WheatCPP,confirmation,6,Atakora_2011b,2011,https://doi.org/10.1016/j.anifeedsci.2011.04.030,available_in_V44_study_index,Effects of dietary crude protein and phytase–xylanase supplementation of wheat grain based diets on energy metabolism and enteric methane in growing finishing pigs,10.1016/j.anifeedsci.2011.04.030,EXTERNALLY_VERIFIED,https://doi.org/10.1016/j.anifeedsci.2011.04.030,1,6,individual housing; 7-d total feces/urine collection + 24-h gas exchange,0,0,6,Effects of dietary crude protein and phytase–xylanase supplementation of wheat grain based diets on energy metabolism and enteric methane in growing finishing pigs,https://doi.org/10.1016/j.anifeedsci.2011.04.030,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Ball2013_AJAS,confirmation,10,Ball_2013,2013,https://doi.org/10.5713/ajas.2012.12177,available_in_V44_study_index,"The Effect of Level of Crude Protein and Available Lysine on Finishing Pig Performance, Nitrogen Bal",10.5713/ajas.2012.12177,SOURCE_VERIFIED_V33,https://doi.org/10.5713/ajas.2012.12177,1,10,metabolism crate total collection,0,0,10,,https://doi.org/10.5713/ajas.2012.12177,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Berghaus2023_JAS,confirmation,2,Berghaus_2023,2023,https://doi.org/10.1093/jas/skad335,available_in_V44_study_index,"Nitrogen and lysine utilization efficiencies, protein turnover, and blood urea concentrations in crossbred grower pigs at marginal dietary lysine concentration",10.1093/jas/skad335,SOURCE_VERIFIED_V33,https://doi.org/10.1093/jas/skad335,1,2,total collection; 4-d feces/urine collection in metabolism units; feed intake quantified over 5 consecutive days,0,0,2,,https://doi.org/10.1093/jas/skad335,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Brestensky2012_JAS,confirmation,2,Brestensky_2012,2012,https://doi.org/10.2527/jas51697,available_in_V44_study_index,Total tract digestibility of nitrogen in pigs exposed to high environmental temperatures,10.2527/jas.51697,SOURCE_VERIFIED_V33,https://doi.org/10.2527/jas.51697,1,2,total collection,0,2,0,,https://doi.org/10.2527/jas51697,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Camire2023_JAS,confirmation,10,Camire_2023,2023,https://doi.org/10.1093/jas/skad298,available_in_V44_study_index,Effect of the essential amino acid-nitrogen to total nitrogen ratio on lysine requirement for nitrog,10.1093/jas/skad298,SOURCE_VERIFIED_V33,https://doi.org/10.1093/jas/skad298,1,10,total collection,0,10,0,,https://doi.org/10.1093/jas/skad298,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Campos2014_JAS,confirmation,4,Campos_2014,2014,https://doi.org/10.2527/jas2014-8108,available_in_V44_study_index,Effects of ambient temperature on energy and nitrogen utilization in lipopolysaccharide-challenged growing pigs,10.2527/jas.2014-8108,SOURCE_VERIFIED_V33,https://doi.org/10.2527/jas.2014-8108,1,4,respiration chamber total collection,0,0,4,,https://doi.org/10.2527/jas2014-8108,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Dublecz2023_Atmosphere,confirmation,6,Dublecz_2023,2023,https://doi.org/10.3390/atmos14050776,available_in_V44_study_index,Effects of Dietary Protein Content and Using Sugar Beet Pulp or Benzoic Acid Supplementations on the Nitrogen Excretion of Fattening Pigs and its Composition,10.3390/atmos14050776,EXTERNALLY_VERIFIED,https://doi.org/10.3390/atmos14050776,1,6,total collection; 2-d adaptation plus 5-d feces/urine collection in balance cages,0,0,6,Effects of Dietary Protein Content and Using Sugar Beet Pulp or Benzoic Acid Supplementations on the Nitrogen Excretion of Fattening Pigs and its Composition,https://doi.org/10.3390/atmos14050776,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
Galli2024_Animals3457,confirmation,3,Galli_2024,2024,https://doi.org/10.3390/ani14233457,available_in_V44_study_index,Effects of β-Mannanase Alone or Combined with Multi-Carbohydrase Complex in Corn-Soybean Meal Diets on Nutrient Metabolism and Gut Health of Growing Pigs,10.3390/ani14233457,EXTERNALLY_VERIFIED,https://doi.org/10.3390/ani14233457,1,3,metabolism crates; 5-d adaptation plus 8-d total collection period,0,0,3,Effects of β-Mannanase Alone or Combined with Multi-Carbohydrase Complex in Corn-Soybean Meal Diets on Nutrient Metabolism and Gut Health of Growing Pigs,https://doi.org/10.3390/ani14233457,V44_reviewer_ready_study_index,,V44 reviewer-ready Study_Index is the scope/identity authority for this public mapping; v35 title fields are supplied only when the same Study_ID was present in that earlier title/DOI registry.
