Check,Observed,Expected,Pass
Heavy row count,56448,56448,True
Full matrix row count,112896,112896,True
Unique full-matrix keys,112896,112896,True
All cells have 504 unique realizations,"min=504, max=504, cells=224","min=max=504, cells=224",True
Measured sources excluded from evaluation,"{""3"": [88], ""6"": [85], ""9"": [82], ""12"": [79], ""15"": [76], ""18"": [73], ""21"": [70]}","{""3"": 88, ""6"": 85, ""9"": 82, ""12"": 79, ""15"": 76, ""18"": 73, ""21"": 70}",True
Balanced ledger: six records per source,"min=6, max=6, sources=91","min=max=6, sources=91",True
Balanced ledger: each record used 84 times,"min=84, max=84",min=max=84,True
Architecture-specific response-surface selections reproduced,"rows=336, common_columns_exact=True","rows=336, common_columns_exact=True",True
Independent B15/B18/B21 heavy-result reproduction,"realizations=24, rows=1152, max_abs_diff=4.44e-16","rows=1152, max_abs_diff<1e-12",True
Reported MLR+RF B3/B6/B9/B12 heavy-result reproduction,"realizations=24, rows=384, max_abs_diff=0","rows=384, max_abs_diff<1e-12",True
New low-budget heavy continuation reproduction,"realizations=24, rows=960, max_abs_diff=0","rows=960, max_abs_diff<1e-12",True
