Comparison group,Measurement-selection strategy,Updating method / boundary,Budget,Realizations,Mean-NRMSE,2.5th percentile,97.5th percentile,"FN RMSE, g/d",FN R²,"UN RMSE, g/d",UN R²
Formal updating hierarchy,Response-surface-guided sampling,Independent affine residual correction,3,504,0.6348752685060322,0.5740760747251263,0.7548259041504947,1.640773477290267,0.7298357636722128,3.277719129084808,0.3587209659755856
Formal updating hierarchy,Response-surface-guided sampling,Independent affine residual correction,6,504,0.6143146505894934,0.5652392477369121,0.6973905475637011,1.625512063577769,0.7391530101400515,3.120794849908269,0.4117039884833688
Formal updating hierarchy,Response-surface-guided sampling,Independent affine residual correction,9,504,0.6217079347964778,0.5771418628978028,0.7067240404271973,1.692045023145902,0.7229530978265665,3.095387663029381,0.4522364196688117
Formal updating hierarchy,Response-surface-guided sampling,Independent affine residual correction,12,504,0.6171410640536534,0.5644570910492099,0.7110011801609549,1.540231461930041,0.7636234617282593,3.259503032765862,0.3703454246865914
Formal updating hierarchy,Response-surface-guided sampling,Target-weighted full Random Forest revision,3,504,0.8592826477046374,0.8101996625926619,0.9005087418405002,1.712335141398421,0.707310002131969,5.117821711956281,-0.5493606074719452
Formal updating hierarchy,Response-surface-guided sampling,Target-weighted full Random Forest revision,6,504,0.822342539439584,0.7490425541880583,0.9211325549797368,1.735697903279289,0.7032431862242435,4.767808212128278,-0.370972465108905
Formal updating hierarchy,Response-surface-guided sampling,Target-weighted full Random Forest revision,9,504,0.781411056478695,0.7290771555681319,0.8312294841075939,1.609300807765786,0.751082422360502,4.584121959282368,-0.2000710683956832
Formal updating hierarchy,Response-surface-guided sampling,Target-weighted full Random Forest revision,12,504,0.7777560423302932,0.7015734740954899,0.8818910213086194,1.401961534775871,0.8039837219753668,4.830539781527417,-0.3799711173550671
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,3,504,0.6266879536212611,0.566904324210467,0.7339040900287004,1.665218301126893,0.72164525053478,3.174314743046462,0.3989994912284386
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,6,504,0.5488954198963575,0.4663370368344402,0.6503771389476886,1.656524411866928,0.7286563830246008,2.514827982538582,0.612469936909513
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,9,504,0.5343905188064416,0.4419067266393437,0.642820186277186,1.506508107042077,0.7782159199768502,2.590795407333589,0.6134795659955865
Formal updating hierarchy,Response-surface-guided sampling,CG-HPP update,12,504,0.5189914829296485,0.4284930989280857,0.6217782445828729,1.238048161938861,0.8466857310758098,2.817829693216939,0.5239476133006495
