architecture,domain,measurement_budget,endpoint,metric,value,architecture_role,endpoint_role,panel_key,can_reselect_historical_winner,budget_scope
MLR,546,3,FN,R2,0.668070567221951,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,3,UN,R2,0.4022407659097682,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,6,FN,R2,0.6961168148133202,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,6,UN,R2,0.5062906749014975,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,9,FN,R2,0.7874029326374176,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,9,UN,R2,0.5146640366767967,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,12,FN,R2,0.775873636148813,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,546,12,UN,R2,0.4255741449347773,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,3,FN,R2,0.72164525053478,Primary integrated architecture,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,3,UN,R2,0.3989994912284386,Primary integrated architecture,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,6,FN,R2,0.7286563830246008,Primary integrated architecture,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,6,UN,R2,0.612469936909513,Primary integrated architecture,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,9,FN,R2,0.7782159199768502,Primary integrated architecture,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,9,UN,R2,0.6134795659955865,Primary integrated architecture,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,12,FN,R2,0.8466857310758098,Primary integrated architecture,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR+RF,546,12,UN,R2,0.5239476133006495,Primary integrated architecture,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,3,FN,R2,0.6106817855358295,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,3,UN,R2,0.5339671970139571,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,6,FN,R2,0.6476122314305164,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,6,UN,R2,0.5126573472478567,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,9,FN,R2,0.7744822752423985,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,9,UN,R2,0.5128537777017144,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,12,FN,R2,0.8193491498202614,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
TabM,546,12,UN,R2,0.6524721741237465,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,3,FN,R2,0.71828844202489,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,3,UN,R2,0.3437768831489975,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,6,FN,R2,0.6777435922728057,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,6,UN,R2,0.5287519831966718,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,9,FN,R2,0.8049369825732305,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,9,UN,R2,0.4946590333626082,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,12,FN,R2,0.8560875957543739,Robustness comparator,Directly modeled endpoint,546_FN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
RF,546,12,UN,R2,0.5790847218385506,Robustness comparator,Directly modeled endpoint,546_UN,No: external/target-domain performance is robustness evidence only,Architecture-specific response-surface-guided measurement sets; prespecified budgets 3 / 6 / 9 / 12
MLR,SOW80,3,FN,R2,-0.1938818339325583,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,3,UN,R2,0.5704154468897726,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,3,FN,R2,-0.267441442302994,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
RF,SOW80,3,UN,R2,0.6336396113450096,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,3,FN,R2,0.4415145004945602,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
TabM,SOW80,3,UN,R2,0.6466285463501102,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,3,FN,R2,-0.2139822397782238,Primary integrated architecture,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR+RF,SOW80,3,UN,R2,0.620076879004007,Primary integrated architecture,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,6,FN,R2,-0.0465659785829963,Robustness comparator,Directly modeled endpoint,SOW80_FN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
MLR,SOW80,6,UN,R2,0.6049382762010533,Robustness comparator,Directly modeled endpoint,SOW80_UN,No: external/target-domain performance is robustness evidence only,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; value 6 is not a route-wide default
