architecture,domain,measurement_budget,endpoint,metric,value,endpoint_role,architecture_role,main_display_recommended,derivation,source_reference,budget_scope
MLR,546,3,RN,R2,0.9003241858025105,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,3,TNE,R2,0.7014092219146948,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,6,RN,R2,0.9317374430304044,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,6,TNE,R2,0.791163740623325,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,9,RN,R2,0.9435791516418705,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,9,TNE,R2,0.8332957391739589,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,12,RN,R2,0.9428031473133583,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
MLR,546,12,TNE,R2,0.8086985107809841,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,3,RN,R2,0.9010684612151032,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,RN = N intake − FN − UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
RF,546,3,TNE,R2,0.7036387875956479,Mass-balance-derived endpoint; not independently fitted,Robustness comparator,0,TNE = FN + UN,Packaged selected-procedure FN/UN prediction pipelines; mass-balance derivation verified by scripts/verify_derived_endpoints.py,Common cross-domain measurement-budget grid: 3 / 6 / 9 / 12; RN/TNE remain mass-balance-derived at every budget
