Variable,Target_domain,SMD_vs_Development673,Normalized_Wasserstein_vs_Development673,Pct_target_outside_Development_range
"Initial BW, kg",Held-out 233,0.0633052858330865,0.1704708934182583,0.0
"Initial BW, kg",546 target,0.0824586701986047,0.4746961169196488,0.0
"Initial BW, kg",SOW80,5.782583127159799,5.887445242875718,82.5
"Diet NDF, % DM",Held-out 233,0.1693378598289127,0.183639069888783,0.4291845493562232
"Diet NDF, % DM",546 target,2.0293901609825733,2.006588875708439,0.0
"Diet NDF, % DM",SOW80,0.5692694200928937,0.5926864111396783,0.0
DMI/BW,Held-out 233,0.0196788975933193,0.1620843297294908,0.0
DMI/BW,546 target,-0.7810793320674694,0.754880035293706,0.0
DMI/BW,SOW80,-1.895581523592179,1.7952896058843226,0.0
N intake/BW,Held-out 233,-0.0372002938481397,0.18908667145487,0.0
N intake/BW,546 target,-0.7150907168145304,0.6921396834486717,0.0
N intake/BW,SOW80,-1.4727899180478934,1.3945409903090584,0.0
"DMI, kg/d",Held-out 233,0.1847034180917737,0.2149797313532792,0.0
"DMI, kg/d",546 target,-0.2478134832656627,0.2960355784555926,0.0
"DMI, kg/d",SOW80,1.1680801984729463,1.174032854942282,0.0
"N intake, g/d",Held-out 233,0.2427042432088025,0.3007165875840654,0.0
"N intake, g/d",546 target,-0.2835668538088815,0.326583936514537,0.0
"N intake, g/d",SOW80,1.082198798180674,1.0781137033455386,0.0
"Diet EE, % DM",Held-out 233,0.3154994040154262,0.589693646903119,1.2875536480686696
"Diet EE, % DM",546 target,-0.8403969693273888,0.8274946436658561,0.0
"Diet EE, % DM",SOW80,-0.9129538966845304,0.9056790193443872,0.0
"Diet ADF, % DM",Held-out 233,0.2735298710819983,0.5269014313559083,1.2875536480686696
"Diet ADF, % DM",546 target,0.7448847481400515,0.8078244197408635,0.0
"Diet ADF, % DM",SOW80,-0.0152118943376154,0.3379436732292446,0.0
"Diet CP, % DM",Held-out 233,-0.0505129765237759,0.2212569005514441,0.0
"Diet CP, % DM",546 target,-0.1758938251741638,0.501376072447931,2.197802197802198
"Diet CP, % DM",SOW80,-0.4232980319460928,0.4735231919223106,0.0
"Diet starch, % DM",Held-out 233,-0.0427717160006607,0.2611324478813858,2.145922746781116
"Diet starch, % DM",546 target,0.0287128262506384,0.7700798589973589,0.0
"Diet starch, % DM",SOW80,0.3739271088597058,0.4603137741488527,0.0
"N intake/DMI, g/kg",Held-out 233,-0.0107836356976705,0.1730661245265739,0.0
"N intake/DMI, g/kg",546 target,-0.1812909959193882,0.5116434935563178,2.197802197802198
"N intake/DMI, g/kg",SOW80,-0.3511769394359071,0.4000894440246861,0.0
