Table S8. Within-diet measurement-depth analysis under the prespecified selection and updating procedure,,,,,,,,,,,,,
"Selected source-specific diets and the CG-HPP updater are fixed within each scenario. The sensitivity grid crosses 3, 6, 9 and 12 measured source-specific diets with 1, 3 or 6 pig-period FN/UN records revealed per selected source. Intervals for 1 and 3 repeats describe outcome-record allocation within the observed six pigs; when all six pig-period records are used, no allocation uncertainty remains.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Repeats per selected source,Measured source-specific diets,Total target-domain pig-level measurements,Mean NRMSE,Mean NRMSE allocation 2.5%,Mean NRMSE allocation 97.5%,FN R²,FN allocation 2.5%,FN allocation 97.5%,UN R²,UN allocation 2.5%,UN allocation 97.5%,Balanced allocation scenarios,Interval interpretation
1,3,3,0.626687953621261,0.5669043242104668,0.7339040900287004,0.7216452505347799,0.6282810096001598,0.7826996197089076,0.3989994912284389,0.06259329853939766,0.5409049234356123,504,descriptive distribution across balanced within-source outcome-record allocation realizations
1,6,6,0.5488954198963574,0.4663370368344401,0.6503771389476884,0.7286563830246007,0.6403550546096756,0.7841340277798543,0.6124699369095131,0.3884260701419517,0.7877446735839144,504,descriptive distribution across balanced within-source outcome-record allocation realizations
1,9,9,0.5343905188064416,0.4419067266393436,0.642820186277186,0.7782159199768502,0.6535761971436725,0.8699758204908463,0.6134795659955865,0.4631213465433064,0.7746434838920795,504,descriptive distribution across balanced within-source outcome-record allocation realizations
1,12,12,0.5189914829296485,0.4284930989280856,0.6217782445828727,0.8466857310758099,0.8020072914861496,0.8842477059687986,0.5239476133006498,0.2471616640728646,0.7412680362192723,504,descriptive distribution across balanced within-source outcome-record allocation realizations
3,3,9,0.5952209426772236,0.5658328583518211,0.6386830342833382,0.7398245431344235,0.6984871484009227,0.7690411823215245,0.4777040979378717,0.3716827713539856,0.5360267040799004,504,descriptive distribution across balanced within-source outcome-record allocation realizations
3,6,18,0.486525420950432,0.449096467344398,0.5425426995456261,0.7483390421393564,0.7132349291315002,0.7744513064243581,0.7445478161552151,0.6263890800379925,0.8072932316753001,504,descriptive distribution across balanced within-source outcome-record allocation realizations
3,9,27,0.4967913981076006,0.4530998965600843,0.5522711538766397,0.8014466083146802,0.7465091052045246,0.8448817718140392,0.6809188117437571,0.6120308880324866,0.7376742068059788,504,descriptive distribution across balanced within-source outcome-record allocation realizations
3,12,36,0.478099949790969,0.433891640759078,0.5211891511240583,0.8708339436506861,0.8493912340266928,0.8858277618609637,0.6013316756366403,0.4806738427096265,0.7069556934902258,504,descriptive distribution across balanced within-source outcome-record allocation realizations
6,3,18,0.5877419528487329,0.5877419528487329,0.5877419528487329,0.7440909767289641,0.7440909767289641,0.7440909767289641,0.4952889479508727,0.4952889479508727,0.4952889479508727,1,none: all six observed repeats used; no within-source allocation remains
6,6,36,0.4703889976596819,0.4703889976596819,0.4703889976596819,0.7527334988713998,0.7527334988713998,0.7527334988713998,0.775947713278522,0.775947713278522,0.775947713278522,1,none: all six observed repeats used; no within-source allocation remains
6,9,54,0.4879889426781978,0.4879889426781978,0.4879889426781978,0.8070298598670196,0.8070298598670196,0.8070298598670196,0.6959962046250052,0.6959962046250052,0.6959962046250052,1,none: all six observed repeats used; no within-source allocation remains
6,12,72,0.4671133700132583,0.4671133700132583,0.4671133700132583,0.8769024549174083,0.8769024549174083,0.8769024549174083,0.6214158281887912,0.6214158281887912,0.6214158281887912,1,none: all six observed repeats used; no within-source allocation remains
,,,,,,,,,,,,,
a,"The 2.5–97.5% ranges are descriptive ranges across balanced within-source outcome-record allocation realizations in the fixed 546 dataset, not population-generalization confidence intervals.",,,,,,,,,,,,
b,"For six repeats, all six observed animals in each selected source-specific diet are used; therefore allocation variance is exactly zero and no artificial error bar should be drawn.",,,,,,,,,,,,
