Architecture,Method,n_realizations,AUBC_mean,AUBC_SD,AUBC_q025,AUBC_median,AUBC_q975,Rank_within_architecture,Rank_overall
MLR,Affine,504,0.621187348249176,0.018513482472086853,0.5921623365708977,0.6177632566863105,0.6643817957576271,5.0,19.0
MLR,CG-HPP,504,0.5316293025844759,0.02464363594081558,0.49007005235052825,0.5308177444682981,0.5837239854670341,1.0,3.0
MLR,Mean,504,0.8597523200074599,0.01802030552546582,0.8311873844988871,0.8599181676592182,0.8963787319396327,7.0,28.0
MLR,NoUpdate,504,0.9996737016506453,0.0,0.9996737016506453,0.9996737016506453,0.9996737016506453,8.0,32.0
MLR,TargetOnlyElasticNet,504,0.5720691998985872,0.03873083000861398,0.5048283281083431,0.5693021076748107,0.6557207491170155,3.0,7.0
MLR,TargetOnlyRF,504,0.5945817453743851,0.028002697810034408,0.5417975029441963,0.5938544165465429,0.6546323765058634,4.0,10.0
MLR,TargetOnlyRidge,504,0.5622839251882379,0.037591341999800965,0.496371214195634,0.5595906139788235,0.6444810396291352,2.0,5.0
MLR,TargetWeightedFullRF,504,0.7915365535371045,0.018808092209346816,0.7555796608148414,0.7910809639008789,0.8276240889487597,6.0,24.0
MLR+RF,Affine,504,0.5978348735119587,0.017258614171623686,0.5735989474877329,0.594382828543573,0.6366990266301207,4.0,11.0
MLR+RF,CG-HPP,504,0.4999633567447082,0.02248347997283483,0.4617444887934649,0.49802023601970247,0.549712189657255,1.0,1.0
MLR+RF,Mean,504,0.819361246029893,0.0175767194585913,0.791299111270865,0.8178798510173602,0.8544477254235977,7.0,25.0
MLR+RF,NoUpdate,504,0.9359376443303441,0.0,0.9359376443303441,0.9359376443303441,0.9359376443303441,8.0,29.0
MLR+RF,TargetOnlyElasticNet,504,0.5747647743836971,0.03479243536225889,0.5143539579812122,0.5728060661954817,0.649199191566023,3.0,8.0
MLR+RF,TargetOnlyRF,504,0.6063483172715572,0.024824977780930135,0.5574747735471764,0.6052378608742681,0.6546155020754748,5.0,17.0
MLR+RF,TargetOnlyRidge,504,0.5654774158389962,0.03415431282200619,0.5062738845539816,0.5635261227284011,0.6372553975233174,2.0,6.0
MLR+RF,TargetWeightedFullRF,504,0.7625047369434391,0.01933856064159658,0.7264211594807659,0.7616382063883737,0.8008382458353305,6.0,22.0
TabM,Affine,504,0.6060584936810053,0.01805897279210053,0.5772004608019841,0.6040039829100323,0.6476961220894415,4.0,16.0
TabM,CG-HPP,504,0.5115031717097334,0.022998431610480072,0.4734970251403306,0.5092101933252611,0.5618520950624591,1.0,2.0
TabM,Mean,504,0.8505090435235632,0.015355102183013229,0.8263486745119151,0.8481971271990536,0.8841195740463818,7.0,27.0
TabM,NoUpdate,504,0.9680154369958576,0.0,0.9680154369958576,0.9680154369958576,0.9680154369958576,8.0,31.0
TabM,TargetOnlyElasticNet,504,0.5983359994748144,0.04570463383356674,0.5286029237945,0.5913111063811933,0.696971843248972,3.0,13.0
TabM,TargetOnlyRF,504,0.6063801347642797,0.027177188421162683,0.5581899938377762,0.6051190684499623,0.6626056441117008,5.0,18.0
TabM,TargetOnlyRidge,504,0.598003092582301,0.0421724463047664,0.5294889537637658,0.5927033542615545,0.6892355392343402,2.0,12.0
TabM,TargetWeightedFullRF,504,0.7809749103433166,0.018695578894569707,0.7463010419796369,0.7803390840629933,0.8166920707307999,6.0,23.0
RF,Affine,504,0.6278192675259942,0.017348923865489585,0.6016389331121558,0.6268652529539245,0.6627670906440613,5.0,20.0
RF,CG-HPP,504,0.5363470752257797,0.032298985583864834,0.476846088517706,0.5367123924112464,0.5996299868961519,1.0,4.0
RF,Mean,504,0.8387247873199589,0.01925759256656928,0.8064022448062296,0.837540974215203,0.8771774081003997,7.0,26.0
RF,NoUpdate,504,0.9585149883905548,0.0,0.9585149883905548,0.9585149883905548,0.9585149883905548,8.0,30.0
RF,TargetOnlyElasticNet,504,0.605150287373778,0.042611825973763305,0.5324687930910699,0.6034588211028453,0.6920518267764025,4.0,15.0
RF,TargetOnlyRF,504,0.6003644753953049,0.028791501722108107,0.5481280687643991,0.6000567275362851,0.6536191292141098,3.0,14.0
RF,TargetOnlyRidge,504,0.5917291741512198,0.038516885742622645,0.5249465095605825,0.591510696636929,0.6646138111632625,2.0,9.0
RF,TargetWeightedFullRF,504,0.7545503935197638,0.022870980623745353,0.7179845503093469,0.7510631632497635,0.8050402700153139,6.0,21.0
