Rank,Model,FN_RMSE,FN_NRMSE,FN_R2,UN_RMSE,UN_NRMSE,UN_R2,Primary_NRMSE
1,MLR+RF,1.8508371255995564,0.5288375509922738,0.7199146703221914,4.744109588586819,0.517293445515005,0.7320092880891598,0.5230654982536393
2,MLR+ET,1.8786662168181574,0.5367891250356236,0.711428651664983,4.6928019790814,0.5116989098900169,0.7377745890483466,0.5242440174628202
3,MLR+TabM,1.84795851019605,0.5280150475427897,0.7207852287790528,4.803272859366467,0.5237445553846355,0.7252834437417137,0.5258798014637126
4,MLR+XGB,1.8858809699039731,0.5388505880893653,0.7092079604474651,4.7198782693985235,0.5146512842499189,0.7347399098693435,0.5267509361696421
5,TabM,1.8327909575616028,0.5236812402732013,0.7253498603100078,4.895406900841464,0.5337907684566275,0.714643408688326,0.5287360043649144
6,XGB,1.8765072237873186,0.5361722384542783,0.7120915320959151,4.891161457893491,0.5333278491734016,0.715138133577764,0.53475004381384
7,MLR,1.9122053598052076,0.546372225565826,0.7010331610575233,4.809073414799579,0.5243770427354999,0.7246195335952037,0.5353746341506629
8,ET,1.9532028660884064,0.5580863956133789,0.6880760922560161,4.708234385907211,0.5133816456595949,0.7360470824562446,0.5357340206364869
9,RF,1.9139889460599435,0.5468818476032771,0.7004751856024458,4.906408898729671,0.5349904164177183,0.7133593395411089,0.5409361320104977
10,ElasticNet,1.9705365647120687,0.5630391332708355,0.6825151887723013,4.786451105020802,0.5219103264102437,0.7272042683458563,0.5424747298405397
