Method,Left_sampling,Right_sampling,Budget,n_realizations,Delta_mean,Delta_SD,Delta_q025,Delta_median,Delta_q975
Affine,P2-PAM,RSGS,3,504,0.03349556209707013,0.08170466432773978,-0.1285134507708253,0.03983805207151847,0.18944605658675284
Affine,P2-PAM,RSGS,6,504,-0.019428933902680353,0.049829833872701415,-0.11488796878442563,-0.01581168033952879,0.0846142349335577
Affine,P2-PAM,RSGS,9,504,-0.023141765904282286,0.046861481672149104,-0.12191200716642399,-0.016166063494439553,0.062242019280269664
Affine,P2-PAM,RSGS,12,504,-0.025991573024501696,0.03785770650429149,-0.1103061717505255,-0.02225046893703836,0.04542084672816004
Affine,Random,RSGS,3,504,0.15775933799210531,0.15592384096834314,-0.08947332772655112,0.13663344975580816,0.5301164998564198
Affine,Random,RSGS,6,504,0.09341322198940197,0.13703946867172148,-0.07908932352671244,0.058627841718431106,0.4536637899628565
Affine,Random,RSGS,9,504,0.04776676593876682,0.09113471416835435,-0.08713861509317873,0.030451656243466074,0.2724504000093672
Affine,Random,RSGS,12,504,0.018627722779660467,0.0853260006213127,-0.10913975000083286,0.003406196423874186,0.22754674303232753
Affine,Random,P2-PAM,3,504,0.13255345437529598,0.16537645248869573,-0.107959080203751,0.1082786443603565,0.5178836478617961
Affine,Random,P2-PAM,6,504,0.11648126313423378,0.13817941693229693,-0.04768037905839258,0.08021872194654167,0.4783333661333539
Affine,Random,P2-PAM,9,504,0.07503986069044795,0.09284962311730463,-0.04750550810729421,0.05153023253979688,0.33747695210769135
Affine,Random,P2-PAM,12,504,0.04868577607230836,0.07844880005598043,-0.04739672898760922,0.03264000063279482,0.2766637791872477
TargetWeightedFullRF,P2-PAM,RSGS,3,504,0.031229202922405334,0.030159666435957036,-0.02547875450698862,0.030258717853864747,0.08833434904817017
TargetWeightedFullRF,P2-PAM,RSGS,6,504,-0.01049542247520135,0.0562074023496136,-0.13310115352161644,-0.001171990163955916,0.07707120563545408
TargetWeightedFullRF,P2-PAM,RSGS,9,504,0.02135717563499865,0.038565069191370864,-0.0525470438637785,0.02048637807695064,0.10110890685553342
TargetWeightedFullRF,P2-PAM,RSGS,12,504,0.004249852664441582,0.059192570545471064,-0.11148785353228675,0.011335034306497849,0.10305629511920378
TargetWeightedFullRF,Random,RSGS,3,504,0.042318001178266236,0.0457138340401341,-0.0540260804007793,0.045162038986027164,0.12372937988960599
TargetWeightedFullRF,Random,RSGS,6,504,0.04814943279780864,0.06501916226859729,-0.08077038350342765,0.05052189603926094,0.15340828392930975
TargetWeightedFullRF,Random,RSGS,9,504,0.0636172173738802,0.06449904223667252,-0.05706986190597898,0.06766335093733383,0.1803056946109004
TargetWeightedFullRF,Random,RSGS,12,504,0.04090438035256007,0.08387819333006782,-0.10553620430948404,0.032460580638612846,0.19679668872056608
TargetWeightedFullRF,Random,P2-PAM,3,504,0.005734116912792464,0.04002680729967181,-0.08208346857629412,0.010183906739354875,0.07376892435352397
TargetWeightedFullRF,Random,P2-PAM,6,504,0.05596446836789102,0.05903946713897153,-0.07216770011053245,0.06257420810795877,0.15965534477350404
TargetWeightedFullRF,Random,P2-PAM,9,504,0.032571691041469016,0.06515989505320403,-0.10181306821383457,0.03955000262139907,0.14090029714776137
TargetWeightedFullRF,Random,P2-PAM,12,504,0.027156428266833878,0.07645417452045938,-0.12096100749034125,0.026527480232751866,0.17651258803425843
CG-HPP,P2-PAM,RSGS,3,504,0.027326074227042103,0.07134066764375804,-0.1087740948582043,0.0269750264092371,0.16723947480130824
CG-HPP,P2-PAM,RSGS,6,504,0.029521283379132773,0.06208059184588212,-0.09042421513445965,0.027414187121764355,0.13932526249976462
CG-HPP,P2-PAM,RSGS,9,504,0.004970149279271338,0.07164495214391672,-0.14249279265526996,0.009084266896369708,0.13490851466828532
CG-HPP,P2-PAM,RSGS,12,504,-0.038914526161445556,0.052283894975274435,-0.1367708315943112,-0.03938268384385141,0.0586025591225087
CG-HPP,Random,RSGS,3,504,0.14805945975168835,0.13511858515157946,-0.08368788817585966,0.13931476662549325,0.43525375165089836
CG-HPP,Random,RSGS,6,504,0.1303234751603131,0.1285741610338649,-0.059923821882428625,0.1080275582778551,0.44739090894570466
CG-HPP,Random,RSGS,9,504,0.09094696809633565,0.10342565210774271,-0.10335262942633454,0.087687052801671,0.3090556106264117
CG-HPP,Random,RSGS,12,504,0.0578981661547871,0.10604475178357399,-0.1139742800996077,0.047426780937988466,0.30701457682885475
CG-HPP,Random,P2-PAM,3,504,0.1293072330712531,0.14148433040034505,-0.09747429755746488,0.11697608360557687,0.4597327915798281
CG-HPP,Random,P2-PAM,6,504,0.10544226407203568,0.124189007613429,-0.056894125181027454,0.07671487777877894,0.40787480659881487
CG-HPP,Random,P2-PAM,9,504,0.08979363633453105,0.10418899997172386,-0.0746032817886123,0.08286426779320488,0.3196040656862667
CG-HPP,Random,P2-PAM,12,504,0.09753442836107654,0.09305701209417246,-0.053191641930932634,0.08512821044571234,0.3248380391679308
