Role,Architecture,Method,n_realizations,AUBC_mean,AUBC_SD,AUBC_q025,AUBC_median,AUBC_q975
selected_updater,TabM,CG-HPP,1,0.6447876724563304,,0.6447876724563304,0.6447876724563304,0.6447876724563304
selected_updater,MLR,CG-HPP,1,0.7123069122045149,,0.7123069122045149,0.7123069122045149,0.7123069122045149
selected_updater,MLR+RF,CG-HPP,1,0.7268483157167909,,0.7268483157167909,0.7268483157167909,0.7268483157167909
selected_updater,RF,CG-HPP,1,0.7534186273509762,,0.7534186273509762,0.7534186273509762,0.7534186273509762
local_only_boundary,local_only,TargetOnlyRF,1,0.8447806906665467,,0.8447806906665467,0.8447806906665467,0.8447806906665467
local_only_boundary,local_only,TargetOnlyElasticNet,1,0.894446060396906,,0.894446060396906,0.894446060396906,0.894446060396906
local_only_boundary,local_only,TargetOnlyRidge,1,0.8975234354658627,,0.8975234354658627,0.8975234354658627,0.8975234354658627
matched_no_update,MLR+RF,NoUpdate,1,1.0737126850533627,,1.0737126850533627,1.0737126850533627,1.0737126850533627
matched_no_update,MLR,NoUpdate,1,1.1348087103018338,,1.1348087103018338,1.1348087103018338,1.1348087103018338
matched_no_update,RF,NoUpdate,1,1.158789422696448,,1.158789422696448,1.158789422696448,1.158789422696448
matched_no_update,TabM,NoUpdate,1,1.2647992635524028,,1.2647992635524028,1.2647992635524028,1.2647992635524028
