Role,Architecture,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_R2_mean,UN_RMSE_mean,UN_R2_mean
selected_updater,MLR,CG-HPP,3,1,0.8694265750274905,,0.8694265750274905,0.8694265750274905,0.8694265750274905,1.7542355040356734,-0.1938818339325583,6.241727853453412,0.5704154468897726
selected_updater,MLR,CG-HPP,6,1,0.8343488738364642,,0.8343488738364642,0.8343488738364642,0.8343488738364642,1.6629291889816171,-0.0465659785829963,6.112322943796964,0.6049382762010533
selected_updater,MLR,CG-HPP,9,1,0.5821207351227061,,0.5821207351227061,0.5821207351227061,0.5821207351227061,1.0037895082750885,0.6146467623361425,5.197313415170174,0.7114257827785455
selected_updater,MLR,CG-HPP,12,1,0.571475680281258,,0.571475680281258,0.571475680281258,0.571475680281258,1.117521823086507,0.4354052014566266,4.314627083949685,0.7966871947247195
selected_updater,MLR+RF,CG-HPP,3,1,0.8546343079589931,,0.8546343079589931,0.8546343079589931,0.8546343079589931,1.7689411752735291,-0.2139822397782238,5.869868374328188,0.620076879004007
selected_updater,MLR+RF,CG-HPP,6,1,0.8342657153046306,,0.8342657153046306,0.8342657153046306,0.8342657153046306,1.6946262377704022,-0.0868433499137211,5.921715370775593,0.6291934232390268
selected_updater,MLR+RF,CG-HPP,9,1,0.6207183846008911,,0.6207183846008911,0.6207183846008911,0.6207183846008911,1.1569589426060445,0.4880711529798598,5.025448043132158,0.7301954391471014
selected_updater,MLR+RF,CG-HPP,12,1,0.5964873865307087,,0.5964873865307087,0.5964873865307087,0.5964873865307087,1.1497443087785837,0.4023768887876076,4.602975402353082,0.7686041795703292
selected_updater,TabM,CG-HPP,3,1,0.6671053825628472,,0.6671053825628472,0.6671053825628472,0.6671053825628472,1.1998119281507829,0.4415145004945602,5.661040112245132,0.6466285463501102
selected_updater,TabM,CG-HPP,6,1,0.681227476389346,,0.681227476389346,0.681227476389346,0.681227476389346,1.2513644716939487,0.4073657584096332,5.624926252570388,0.6654307398422139
selected_updater,TabM,CG-HPP,9,1,0.6321021061766231,,0.6321021061766231,0.6321021061766231,0.6321021061766231,1.254014231722179,0.3985789304399511,4.665394579698317,0.7674713484097514
selected_updater,TabM,CG-HPP,12,1,0.5749614870431972,,0.5749614870431972,0.5749614870431972,0.5749614870431972,1.140916311935544,0.4115190266504526,4.242090019721451,0.8034658781237198
selected_updater,RF,CG-HPP,3,1,0.8610903431543352,,0.8610903431543352,0.8610903431543352,0.8610903431543352,1.8074703265005088,-0.267441442302994,5.76414312852976,0.6336396113450096
selected_updater,RF,CG-HPP,6,1,0.847808224471865,,0.847808224471865,0.847808224471865,0.847808224471865,1.717117064259194,-0.1158836341359952,6.047762817587438,0.6132397151603597
selected_updater,RF,CG-HPP,9,1,0.6654821233555047,,0.6654821233555047,0.6654821233555047,0.6654821233555047,1.2611868189954034,0.3916793567868686,5.263876700592857,0.703986765683575
selected_updater,RF,CG-HPP,12,1,0.6328407252967831,,0.6328407252967831,0.6328407252967831,0.6328407252967831,1.1834438233823446,0.366830273715938,5.100396493134532,0.7158902885652068
local_only_boundary,local_only,TargetOnlyElasticNet,3,1,1.8087140934071528,,1.8087140934071528,1.8087140934071528,1.8087140934071528,2.429369182229859,-1.2896683819125672,20.26023357823528,-3.5261390779562456
local_only_boundary,local_only,TargetOnlyElasticNet,6,1,0.7524626761157277,,0.7524626761157277,0.7524626761157277,0.7524626761157277,1.4206403509247338,0.2361863915463904,5.984006971459876,0.6213512287062366
local_only_boundary,local_only,TargetOnlyElasticNet,9,1,0.6834231218251541,,0.6834231218251541,0.6834231218251541,0.6834231218251541,1.3490807801954474,0.3039352861677151,5.084422051873747,0.7238259304150416
local_only_boundary,local_only,TargetOnlyElasticNet,12,1,0.686190673092519,,0.686190673092519,0.686190673092519,0.686190673092519,1.2985639053972928,0.2376550962174605,5.438821542026056,0.6769365547989024
local_only_boundary,local_only,TargetOnlyRF,3,1,0.9886519278515744,,0.9886519278515744,0.9886519278515744,0.9886519278515744,1.907829060578211,-0.4120968059935854,7.616245360978674,0.3603817424698555
local_only_boundary,local_only,TargetOnlyRF,6,1,0.8850392393416879,,0.8850392393416879,0.8850392393416879,0.8850392393416879,1.6757636495965964,-0.0627830782957055,7.00958654784265,0.4804382451233413
local_only_boundary,local_only,TargetOnlyRF,9,1,0.7729936892567626,,0.7729936892567626,0.7729936892567626,0.7729936892567626,1.3820191782310531,0.2695309029038814,6.60872013088677,0.5334110672009504
local_only_boundary,local_only,TargetOnlyRF,12,1,0.7639663589508046,,0.7639663589508046,0.7639663589508046,0.7639663589508046,1.4610775707990866,0.0349020460381113,5.963872555705956,0.611550192435977
local_only_boundary,local_only,TargetOnlyRidge,3,1,1.7952379108328402,,1.7952379108328402,1.7952379108328402,1.7952379108328402,2.4819629256299143,-1.3898801989237133,19.68772973945181,-3.2739582628032773
local_only_boundary,local_only,TargetOnlyRidge,6,1,0.7632872308768477,,0.7632872308768477,0.7632872308768477,0.7632872308768477,1.4380134493505814,0.217390715855351,6.088357802016357,0.6080301121045331
local_only_boundary,local_only,TargetOnlyRidge,9,1,0.6815164443919811,,0.6815164443919811,0.6815164443919811,0.6815164443919811,1.3405522948037412,0.3127080947759894,5.098649011150644,0.7222782168992917
local_only_boundary,local_only,TargetOnlyRidge,12,1,0.7002953514246786,,0.7002953514246786,0.7002953514246786,0.7002953514246786,1.3517115720789084,0.173975534170905,5.392861372633085,0.6823735100782564
matched_no_update,MLR,NoUpdate,3,1,1.1270443410133175,,1.1270443410133175,1.1270443410133175,1.1270443410133175,1.818755740331496,-0.2833180573826654,10.806001596772274,-0.287564676166272
matched_no_update,MLR,NoUpdate,6,1,1.1460813442968003,,1.1460813442968003,1.1460813442968003,1.1460813442968003,1.853652556395589,-0.3003964306428885,10.963624810883164,-0.2710443377577567
matched_no_update,MLR,NoUpdate,9,1,1.1307813925688843,,1.1307813925688843,1.1307813925688843,1.1307813925688843,1.8333891517091796,-0.28553238728848,10.790533566799784,-0.24390024225555
matched_no_update,MLR,NoUpdate,12,1,1.1280824470663149,,1.1280824470663149,1.1280824470663149,1.1280824470663149,1.8341607663801505,-0.5208964492945825,10.734083873148885,-0.2583694637624703
matched_no_update,MLR+RF,NoUpdate,3,1,1.0536957004359222,,1.0536957004359222,1.0536957004359222,1.0536957004359222,2.264381520562076,-0.989228876814796,6.73965119418884,0.4991428940310666
matched_no_update,MLR+RF,NoUpdate,6,1,1.0765826817840312,,1.0765826817840312,1.0765826817840312,1.0765826817840312,2.299328816222419,-1.0008810176977851,6.970934042615997,0.486152417814348
matched_no_update,MLR+RF,NoUpdate,9,1,1.0785148842957843,,1.0785148842957843,1.0785148842957843,1.0785148842957843,2.32512536299481,-1.067599674763299,6.8542276927730965,0.4981004955660042
matched_no_update,MLR+RF,NoUpdate,12,1,1.0783852777246232,,1.0783852777246232,1.0783852777246232,1.0783852777246232,2.3291873522788284,-1.4526393596193268,6.827516152809965,0.4908993228861099
matched_no_update,TabM,NoUpdate,3,1,1.2692262375220753,,1.2692262375220753,1.2692262375220753,1.2692262375220753,2.441465033441861,-1.312525703326532,9.82418447821471,-0.0642214712477664
matched_no_update,TabM,NoUpdate,6,1,1.2699811958384228,,1.2699811958384228,1.2699811958384228,1.2699811958384228,2.4127565110295484,-1.2031602757402218,10.00987713919579,-0.0595217203907023
matched_no_update,TabM,NoUpdate,9,1,1.2588199793767312,,1.2588199793767312,1.2588199793767312,1.2588199793767312,2.3916830891391534,-1.1876657804299429,9.921123904843002,-0.0515294960075065
matched_no_update,TabM,NoUpdate,12,1,1.261966993362034,,1.261966993362034,1.261966993362034,1.261966993362034,2.3998653038156434,-1.6037457915395366,9.932789455715266,-0.0775083933934277
matched_no_update,RF,NoUpdate,3,1,1.1314129196976657,,1.1314129196976657,1.1314129196976657,1.1314129196976657,2.615599473535501,-1.6541657074180152,6.138332142393766,0.5845299070530403
matched_no_update,RF,NoUpdate,6,1,1.1553055289713905,,1.1553055289713905,1.1553055289713905,1.1553055289713905,2.646771294910087,-1.651257632089158,6.411446991139041,0.565325180821418
matched_no_update,RF,NoUpdate,9,1,1.1688394280868777,,1.1688394280868777,1.1688394280868777,1.1688394280868777,2.6879730646998907,-1.7632713423145483,6.4257553592926095,0.5588887983158751
matched_no_update,RF,NoUpdate,12,1,1.1730337023644846,,1.1730337023644846,1.1730337023644846,1.1730337023644846,2.69058514394876,-2.2727914124906823,6.490754290977359,0.5398827236484438
